"model","factor","go_id","term","size","ES","NES","p","p_adj","leading_edge"
"c = Inf","k1","GO:0070482","response to oxygen levels",327,0.789468988882367,1.36448932366422,2.2663995270431e-07,0.000377899457139166,"COX1, ND4, ND5, ATP6, CYTB, COX2, ND2, ND1, ENO1, CD24"
"c = Inf","k1","GO:0009060","aerobic respiration",283,0.799949319841063,1.38222908226262,4.72546499130408e-07,0.000656603360541702,"COX1, ND4, ND5, ATP6, CYTB, COX2, COX3, ND2, ND6, ND1"
"c = Inf","k1","GO:0036293","response to decreased oxygen levels",302,0.787621057558652,1.36113626269886,6.59857880528546e-07,0.000785890735709498,"COX1, ND4, ND5, CYTB, COX2, ND2, ND1, ENO1, CD24, TMBIM6"
"c = Inf","k1","GO:0001666","response to hypoxia",289,0.791779345645007,1.36810707191109,1.15510845364701e-06,0.00120376739725689,"COX1, ND4, ND5, CYTB, COX2, ND2, ND1, ENO1, CD24, TMBIM6"
"c = Inf","k1","GO:1902600","proton transmembrane transport",174,0.830419312874234,1.42563925379679,1.90890010090699e-06,0.00176827779347351,"COX1, ND4, ND5, ATP6, CYTB, COX2, COX3, ND2, ND6, ND1"
"c = Inf","k1","GO:0045471","response to ethanol",107,0.864372405728208,1.46560688149637,4.52792460244858e-06,0.00377493074106138,"ND4, CYTB, COX2, EEF2, GATA3, CCND1, RPS6, SREBF1, G6PD, RPL10A"
"c = Inf","k2","GO:0002181","cytoplasmic translation",205,0.868829934440914,1.47807659568225,5.99679933526509e-13,4.9995316058105e-09,"PABPC1, EEF2, CSDE1, RPL8, RPL13A, RPLP0, RPL13, PKM, RPL4, RPS3"
"c = Inf","k2","GO:0006091","generation of precursor metabolites and energy",463,0.766289169214079,1.31858857945896,2.3037973062809e-10,9.60337907123194e-07,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0045333","cellular respiration",320,0.792555153625468,1.35616610304939,1.96639603081597e-09,4.96478484033585e-06,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0009060","aerobic respiration",283,0.800085112238645,1.36650370271758,2.38204862196754e-09,4.96478484033585e-06,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0015980","energy derivation by oxidation of organic compounds",405,0.773509300298253,1.32880511019396,3.02151617724456e-09,5.03807607393759e-06,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0097305","response to alcohol",237,0.812410122173591,1.38572875608105,6.7810291011593e-09,9.42223993606084e-06,"ND4, CYTB, COX2, EEF2, GNAS, GATA3, CDH1, RPS6, CCND1, G6PD"
"c = Inf","k2","GO:0070482","response to oxygen levels",327,0.773488552609552,1.32393169376503,7.18343463089681e-08,7.70460340624747e-05,"ND4, CYTB, ATP6, ND5, COX1, COX2, ND2, ND1, TMBIM6, P4HB"
"c = Inf","k2","GO:1902600","proton transmembrane transport",174,0.827066864131621,1.40125712705989,7.39316627683577e-08,7.70460340624747e-05,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, ND1, ND6"
"c = Inf","k2","GO:0001666","response to hypoxia",289,0.774025991132338,1.32264716825189,3.53724741502332e-07,0.000327667018878327,"ND4, CYTB, ND5, COX1, COX2, ND2, ND1, TMBIM6, P4HB, ZFP36L1"
"c = Inf","k2","GO:0045471","response to ethanol",107,0.861395302872835,1.44900945747889,7.0242878396673e-07,0.000585614877193063,"ND4, CYTB, COX2, EEF2, GATA3, RPS6, CCND1, G6PD, SREBF1, RPL10A"
"c = Inf","k3","GO:0002181","cytoplasmic translation",205,0.885626714127916,1.4670900420083,2.09551412349802e-12,1.7470301247603e-08,"EEF2, PABPC1, CSDE1, RPL13A, RPS3, RPL8, RPL13, RPL4, PKM, RACK1"
"c = Inf","k3","GO:0007596","blood coagulation",217,0.816860451404182,1.35134670668276,3.70669441409749e-07,0.00104186271173093,"ACTB, ACTG1, FLNA, GNAS, THBS1, HSPB1, ANXA2, MYH9, ADGRG1, PPIA"
"c = Inf","k3","GO:0050878","regulation of body fluid levels",334,0.78857145877469,1.30847961775345,3.74905617751324e-07,0.00104186271173093,"ACTB, ACTG1, COX2, FLNA, GNAS, THBS1, HSPB1, CCND1, ANXA2, MYH9"
"c = Inf","k3","GO:0050817","coagulation",219,0.815313834073432,1.34937018053305,7.87570680807548e-07,0.00164149419147313,"ACTB, ACTG1, FLNA, GNAS, THBS1, HSPB1, ANXA2, MYH9, ADGRG1, PPIA"
"c = Inf","k3","GO:1902600","proton transmembrane transport",174,0.832927840029701,1.37930858830135,1.0182093830105e-06,0.00169776232523171,"COX1, ND4, COX2, ND5, ATP6, CYTB, COX3, ND2, ND6, ND1"
"c = Inf","k3","GO:0002468","dendritic cell antigen processing and presentation",12,0.994472804849396,1.5651422538202,1.34334514834812e-06,0.00170310015366308,"THBS1"
"c = Inf","k3","GO:0007599","hemostasis",223,0.817280282679637,1.35200786916491,1.54869468016157e-06,0.00170310015366308,"ACTB, ACTG1, FLNA, GNAS, THBS1, HSPB1, ANXA2, MYH9, ADGRG1, PPIA"
"c = Inf","k3","GO:0042060","wound healing",399,0.766154803675196,1.27459404007706,1.63425707440382e-06,0.00170310015366308,"ACTB, ACTG1, FLNA, GNAS, THBS1, HSPB1, ANXA2, PLEC, SMAD3, AHNAK"
"c = Inf","k3","GO:0034109","homotypic cell-cell adhesion",97,0.87997990065049,1.44923816508777,2.21844367905398e-06,0.00205501832803034,"ACTB, ACTG1, FLNA, GNAS, HSPB1, MYH9, DSP, JUP, ADGRG1, PPIA"
"c = Inf","k3","GO:0070482","response to oxygen levels",327,0.786256301323407,1.30419943112562,2.87192711632592e-06,0.00239432563688092,"COX1, ND4, COX2, ND5, ATP6, CYTB, THBS1, ND2, BMP7, ND1"
